> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-8.009, y=-9.775, z=23.794
FracGL -> x=-8.019, y=-9.787, z=23.802
FracGL -> x=-8.028, y=-9.800, z=23.810
FracGL -> x=-8.038, y=-9.813, z=23.819
FracGL -> x=-8.048, y=-9.826, z=23.827
FracGL -> x=-8.057, y=-9.839, z=23.836
FracGL -> x=-8.067, y=-9.851, z=23.845
FracGL -> x=-8.076, y=-9.864, z=23.854
FracGL -> x=-8.086, y=-9.877, z=23.862
FracGL -> x=-8.096, y=-9.889, z=23.871
FracGL -> x=-8.106, y=-9.902, z=23.881
FracGL -> x=-8.115, y=-9.914, z=23.890
FracGL -> x=-8.125, y=-9.927, z=23.899
FracGL -> x=-8.135, y=-9.940, z=23.908
FracGL -> x=-8.145, y=-9.952, z=23.918
FracGL -> x=-8.154, y=-9.965, z=23.927
FracGL -> x=-8.164, y=-9.977, z=23.937
FracGL -> x=-8.174, y=-9.989, z=23.947
FracGL -> x=-8.184, y=-10.002, z=23.957
FracGL -> x=-8.194, y=-10.014, z=23.967
FracGL -> x=-8.203, y=-10.027, z=23.977
FracGL -> x=-8.213, y=-10.039, z=23.987
FracGL -> x=-8.223, y=-10.051, z=23.997
FracGL -> x=-8.233, y=-10.063, z=24.007
FracGL -> x=-8.243, y=-10.076, z=24.018
FracGL -> x=-8.253, y=-10.088, z=24.028
FracGL -> x=-8.263, y=-10.100, z=24.039
FracGL -> x=-8.273, y=-10.112, z=24.050
FracGL -> x=-8.283, y=-10.124, z=24.060
FracGL -> x=-8.293, y=-10.136, z=24.071
FracGL -> x=-8.303, y=-10.148, z=24.082
FracGL -> x=-8.313, y=-10.160, z=24.093
FracGL -> x=-8.323, y=-10.172, z=24.104
FracGL -> x=-8.333, y=-10.184, z=24.116
FracGL -> x=-8.343, y=-10.196, z=24.127
FracGL -> x=-8.353, y=-10.207, z=24.139
FracGL -> x=-8.363, y=-10.219, z=24.150
FracGL -> x=-8.373, y=-10.231, z=24.162
FracGL -> x=-8.383, y=-10.243, z=24.173
FracGL -> x=-8.393, y=-10.254, z=24.185
FracGL -> x=-8.403, y=-10.266, z=24.197
FracGL -> x=-8.413, y=-10.277, z=24.209
FracGL -> x=-8.423, y=-10.289, z=24.221
FracGL -> x=-8.433, y=-10.300, z=24.233
FracGL -> x=-8.443, y=-10.312, z=24.246
FracGL -> x=-8.453, y=-10.323, z=24.258
FracGL -> x=-8.463, y=-10.335, z=24.270
FracGL -> x=-8.473, y=-10.346, z=24.283
